Health System,Hospital,URL
,SELLS HOSPITAL,
,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NEWNAN,
,MEDICAL CENTER NAVICENT HEALTH,
,WELLSTAR NORTH FULTON HOSPITAL,
,ST MARY'S GOOD SAMARITAN HOSPITAL,
,RIVERVIEW HOSPITAL,
,VA MEDICAL CENTER - LIVERMORE DIVISION,
,ST MARY'S GOOD SAMARITAN HOSPITAL,
,ST MARY'S SACRED HEART HOSPITAL INC,
,ST ELIZABETHS MEDICAL CENTER,
,AVERA ST MARY'S HOSPITAL,
,MADISON COMMUNITY HOSPITAL,
,SANFORD ABERDEEN MEDICAL CENTER,
,TUFTS MEDICAL CENTER,
,WELLSTAR PAULDING HOSPITAL,
,BOSTON MEDICAL CENTER - EAST NEWTON CAMPUS,
,MILESTONE FOUNDATION - EXTENDED CARE,
,WINONA HEALTH SERVICES,
,BRIGHAM AND WOMEN'S HOSPITAL,
,VA LONG BEACH HEALTHCARE SYSTEM,
,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,
,ATHOL MEMORIAL HOSPITAL,
,UMASS MEMORIAL MEDICAL CENTER - UNIVERSITY CAMPUS,
,EMERSON HOSPITAL,
,METROWEST MEDICAL CENTER - LEONARD MORSE CAMPUS,
,WINCHESTER HOSPITAL,
,AVERA SACRED HEART HOSPITAL,
,SD HUMAN SERVICES CENTER,
,HENRICO DOCTORS' HOSPITAL,
,BAYSTATE FRANKLIN MEDICAL CENTER,
,MERCY MEDICAL CENTER - SPRINGFIELD CAMPUS,
,LEWISGALE HOSPITAL MONTGOMERY,
,BAY STATE WING MEMORIAL HOSPITAL AND MEDICAL CENTERS,
,ST ELIZABETH YOUNGSTOWN HOSPITAL,
,REGIONAL REHABILITATION INSTITUTE,
,AULTMAN ORRVILLE HOSPITAL,
,TIPPAH COUNTY HOSPITAL,
,LAHEY CLINIC MEDICAL CENTER,
,ST VINCENT HOSPITAL,
,WOOSTER COMMUNITY HOSPITAL,
,LIFESCAPE,
,VIRGINIA BEACH PSYCHIATRIC CENTER,
,ABBOTT NORTHWESTERN HOSPITAL,
,FAIRVIEW SOUTHDALE HOSPITAL,
,GILLETTE CHILDRENS SPEC HOSP,
,NORTH MEMORIAL MEDICAL CENTER,
,PRAIRIE RIDGE HOSP HLTH SERV,
,ST JOSEPHS HOSPITAL,
,UNIVERSITY OF MN MED CTR,
,MAPLE GROVE HOSPITAL,
,STONE COUNTY HOSPITAL,
,MAYO REGIONAL HOSPITAL,
,LAKE REGION HEALTHCARE CORP,
,MERCY HOSPITAL,
,ORTONVILLE AREA HEALTH SERVICE,
,PERHAM HEALTH,
,LINCOLN HOSPITAL,
,LAKE VIEW MEMORIAL HOSPITAL,
,RAINY LAKE MEDICAL CENTER,
,ST. LANDRY EXTENDED CARE HOSPITAL,
,JOHNSON MEMORIAL HOSP & HOME,
,SANFORD MEDICAL CENTER WHEATON,
,SANFORD MED CTR THIEF RVR FALL,
,RIVERVIEW HOSPITAL & NSG HOME,
,FAIRVIEW LAKES MEDICAL CENTER,
,FIRSTLIGHT HEALTH SYSTEM,
,BAPTIST REHABILITATION-GERMANTOWN,
,ESSENTIA HEALTH ST MARYS MED,
,KITTSON MEMORIAL HOSPITAL,
,LIFECARE MEDICAL CENTER,
,CARRIS HEALTH LLC-RICE MEMORIAL HOSPITAL,
,ST FRANCIS REGIONAL MED CENTER,
,ST LUKES HOSPITAL,
,UNIVERSITY MEDICAL CTR MESABI,
,ST LUKE'S QUAKERTOWN HOSPITAL,
,MERCY HOSPITAL,
,MEEKER MEM HOSP,
,RIVERWOOD HEALTHCARE CENTER,
,FRANKLIN WOODS COMMUNITY HOSPITAL,
,HUTCHINSON AREA HEALTH CARE,
,RIDGEVIEW MEDICAL CENTER,
,TENNOVA HEALTHCARE - HARTON,
,CUYUNA REGIONAL MEDICAL CENTER,
,ESSENTIA HEALTH ST JOSEPHS MED,
,FAIRVIEW NORTHLAND REG HOSP,
,ST CLOUD HOSPITAL,
,STEVENS COMMUNITY MED CENTER,
,ST FRANCIS HEALTHCARE CAMPUS,
,CARRIS HEALTH REDWOOD AREA HOSPITAL,
,RIVERVIEW PSYCHIATRIC CENTER,
,GRAND STRAND REGIONAL MEDICAL CENTER,
,RIDGEVIEW SIBLEY MEDICAL CENTER,
,UHS BINGHAMTON GENERAL HOSPITAL,
,UHS WILSON MEMORIAL HOSPITAL,
,FRANKLIN MEMORIAL HOSPITAL,
,DISTRICT ONE HOSPITAL,
,FAIRVIEW RIDGES HOSPITAL,
,MAYO CLINIC HEALTH SYS L C,
,REGINA MEDICAL CENTER,
,AUBURN COMMUNITY HOSPITAL,
,ASANTE ASHLAND COMMUNITY HOSPITAL,
,WESTFIELD MEMORIAL HOSPITAL,
,NORTHERN LIGHT MAINE COAST HOSPITAL,
,ST CHARLES MEDICAL CENTER BEND,
,PROVIDENCE MEDFORD MEDICAL CENTER,
,HARNEY DISTRICT HOSPITAL,
,BROOKS MEMORIAL HOSPITAL,
,NORTHFIELD CITY HOSPITAL & NSG,
,CURRY GENERAL HOSPITAL,
,BAY AREA HOSPITAL,
,COQUILLE VALLEY HOSPITAL DISTRICT,
,MERCY MEDICAL CENTER,
,MINIDOKA MEMORIAL HOSPITAL,
,KADLEC MEDICAL CENTER,
,BOISE VA MEDICAL CENTER,
,ST. MARY'S REGIONAL MEDICAL CENTER,
,ST. LUKE'S JEROME,
,SAINT ALPHONSUS MEDICAL CENTER - ONTARIO,
,DOCTORS DIAGNOSTIC CENTER- WILLIAMSBURG,
,CENTRA SOUTHSIDE COMMUNITY HOSPITAL,
,UNIVERSITY OF VIRGINIA MEDICAL CENTER,
,UVA HEALTHSOUTH REHABILITATION HOSPITAL,
,SPOTSYLVANIA REGIONAL MEDICAL CENTER,
,TWIN COUNTY REGIONAL HOSPITAL,
,BON SECOURS MARYVIEW MEDICAL CENTER,
,SENTARA HALIFAX REGIONAL HOSPITAL,
,SENTARA NORTHERN VIRGINIA MEDICAL CENTER,
,NAVAL HEALTH CLINIC (JOHN HENRY BALCH),
,CHILDREN'S HOSPITAL OF THE KINGS DAUGHTERS,
,SENTARA NORFOLK GENERAL HOSPITAL,
,BON SECOURS RICHMOND COMMUNITY HOSPITAL,
,CJW MEDICAL CENTER CHIPPENHAM CAMPUS,
,CATAWBA HOSPITAL,
,BON SECOURS MARY IMMACULATE HOSPITAL,
,RIVERSIDE REGIONAL MEDICAL CENTER,
,SENTARA VIRGINIA BEACH GENERAL HOSPITAL,
,OKEENE MUNICIPAL HOSPITAL,
,MARY WASHINGTON HOSPITAL,
,LOURDES COUNSELING CENTER,
,JOHN RANDOLPH MEDICAL CENTER,
,CARILION GILES MEMORIAL HOSPITAL,
,RIVERSIDE WALTER REED HOSPITAL,
,LEE REGIONAL MEDICAL CENTER,
,CONTINUOUS CARE CENTER OF TULSA,
,THE NEUROMEDICAL CENTER REHABILITATION HOSPITAL,
,SENTARA OBICI HOSPITAL,
,ST. JOHN BROKEN ARROW,
,ST. JOHN OWASSO,
,CARILION FRANKLIN MEMORIAL HOSPITAL,
,VALLEY HEALTH WINCHESTER MEDICAL CENTER,
,IDAHO STATE HOSPITAL SOUTH,
,INOVA FAIRFAX HOSPITAL,
,MCKENZIE-WILLAMETTE MEDICAL CENTER,
,PEACE HARBOR HOSPITAL,
,SACRED HEART UNIVERSITY DISTRICT,
,SACRED HEART MEDICAL CENTER RIVERBEND,
,UH GEAUGA MEDICAL CENTER,
,HEALTHSOUTH REHABILITATION HOSPITAL OF NORTHERN VIRGINIA,
,LEWISGALE HOSPITAL ALLEGHANY,
,SMYTH COUNTY COMMUNITY HOSPITAL,
,HAYMARKET MEDICAL CENTER,
,RIVERSIDE DOCTORS' HOSPITAL WILLIAMSBURG,
,CJW MEDICAL CENTER JOHNSTON WILLIS CAMPUS,
,CARILION NEW RIVER VALLEY MEDICAL CENTER,
,RUTLAND REGIONAL MEDICAL CENTER,
,SPRINGFIELD HOSPITAL,
,CARILION ROANOKE COMMUNITY HOSPITAL,
,HARDIN MEMORIAL HOSPITAL,
,THE UNIVERSITY OF VERMONT MEDICAL CENTER,
,GIFFORD MEDICAL CENTER,
,CASCADE MEDICAL CENTER,
,JEFFERSON HEALTHCARE,
,PEACEHEALTH SOUTHWEST MEDICAL CENTER,
,HAMPTON REGIONAL MEDICAL CENTER,
,SELF REGIONAL HEALTHCARE,
,ST FRANCIS-EASTSIDE,
,OHIO STATE UNIVERSITY HOSPITALS,
,RIVERSIDE METHODIST HOSPITAL,
,ST. JOSEPH HOSPITAL,
,DIGNITY HEALTH AZ GENERAL HOSPITAL MESA,
,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL,
,ASTRA SUNNYSIDE COMMUNITY HOSPITAL,
,PEACEHEALTH ST JOHN MEDICAL CENTER,
,BEACON BEHAVIORAL HOSPITAL NORTHSHORE,
,COMPASS BEHAVIORAL HEALTH - CROWLEY,
,RIVERSIDE HOSPITAL OF LOUISIANA,
,RUSTON REGIONAL SPECIALTY HOSPITAL,
,SPARTANBURG REGIONAL MEDICAL CENTER,
,H B MAGRUDER MEMORIAL HOSPITAL,
,EXTENDED CARE OF SOUTHWEST LOUISIANA,
,TURBEVILLE CORRECTIONAL INSTITUTION INFIRMARY,
,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,
,PRISMA HEALTH TUOMEY HOSPITAL,
,ALLENMORE HOSPITAL,
,ST. CLARE HOSPITAL,
,ANMED HEALTH MEDICAL CENTER,
,VA MEDICAL CENTER - UNIVERSITY DRIVE CAMPUS,
,FAIRVIEW HOSPITAL,
,CHILDREN'S HOSPITAL COLORADO AT MEMORIAL HOSPITAL CENTRAL,
,UNIONTOWN HOSPITAL,
,UHHS RICHMOND HEIGHTS HOSPITAL,
,CITADEL INFIRMARY,
,ST VINCENT CHARITY MEDICAL CENTER,
,UHHS BEDFORD MEDICAL CENTER,
,MCLEOD MEDICAL CENTER-DILLON,
,MCLEOD MEDICAL CENTER-DARLINGTON,
,LEE CORRECTIONAL INSTITUTION INFIRMARY,
,ALLENDALE COUNTY HOSPITAL,
,TRIDENT MEDICAL CENTER,
,PROVIDENCE HOSPITAL NORTHEAST,
,CORRECT CARE OF SOUTH CAROLINA,
,KIRKLAND CORRECTIONAL INSTITUTION INFIRMARY,
,NEWBERRY COUNTY MEMORIAL HOSPITAL,
,SPARTANBURG HOSPITAL FOR RESTORATIVE CARE,
,RALPH H JOHNSON VETERANS AFFAIRS MEDICAL CENTER,
,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,
,LIGHTHOUSE CARE CENTER OF CONWAY ACUTE CARE,
,MUSC HEALTH FLORENCE REHABILITATION CENTER,
,PRISMA HEALTH BAPTIST PARKRIDGE,
,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,
,G WERBER BRYAN PSYCHIATRIC HOSPITAL,
,GILLIAM PSYCHIATRIC HOSPITAL,
,WILLIAM J MCCORD ADOLESCENT TREATMENT FACILITY,
,HAYWOOD PARK COMMUNITY HOSPITAL,
,CENTRA HEALTH VIRGINIA BAPTIST HOSPITAL,
,WILLIAM S HALL PSYCHIATRIC INSTITUTE,
,SPARTANBURG REHABILITATION INSTITUTE,
,WOMEN'S CENTER OF CAROLINAS HOSPITAL SYSTEM,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CHARLESTON,
,CARILION STONEWALL JACKSON HOSPITAL,
,MERCY MEMORIAL HOSPITAL,
,COOK CHILDREN'S NORTHEAST HOSPITAL,
,TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,
,CHILDRENS MEDICAL CENTER PLANO,
,SENTARA CAREPLEX HOSPITAL,
,BATH COUNTY COMMUNITY HOSPITAL,
,FERRY COUNTY MEMORIAL HOSPITAL,
,LAKE CHELAN COMMUNITY HOSPITAL,
,JENNINGS SENIOR CARE HOSPITAL,
,ST ELIZABETH BOARDMAN HEALTH CENTER,
,BETHESDA REHABILITATION HOSPITAL,
,VA MEDICAL CENTER AND AMBULATORY CARE CLINIC,
,PHYSICIAN'S CHOICE HOSPITAL - FREMONT,
,CAPITAL MEDICAL CENTER,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LITTLETON,
,MEMORIAL HOSPITAL,
,CASTLE ROCK ADVENTIST HOSPITAL,
,FOOTHILLS HOSPITAL,
,HAVEN BEHAVIORAL HOSPITAL OF SOUTHERN COLO,
,KERNERSVILLE MEDICAL CENTER-ER,
,OLD VINEYARD YOUTH SERVICES,
,WOMACK ARMY MEDICAL CENTER,
,SUMMA WESTERN RESERVE HOSPITAL,
,VA MEDICAL CENTER - DURHAM,
,VA MEDICAL CENTER - FAYETTEVILLE,
,TRINITY HOSPITAL TWIN CITY,
,CLEARWATER VALLEY HOSPITAL AND CLINICS,
,IDAHO STATE HOSPITAL NORTH,
,GRITMAN MEDICAL CENTER,
,KAISER SUNNYSIDE MEDICAL CENTER,
,PROVIDENCE MILWAUKIE HOSPITAL,
,COLUMBIA MEMORIAL HOSPITAL,
,PROVIDENCE SEASIDE HOSPITAL,
,SHOSHONE MEDICAL CENTER,
,BUFFALO GENERAL MEDICAL CENTER,
,BENEWAH COMMUNITY HOSPITAL,
,CEDAR HILLS HOSPITAL,
,LITTLE FALLS HOSPITAL,
,MID-COLUMBIA MEDICAL CENTER,
,WALLOWA MEMORIAL HOSPITAL,
,ADVENTIST MEDICAL CENTER,
,LEGACY EMANUEL MEDICAL CENTER,
,LEGACY MOUNT HOOD MEDICAL CENTER,
,LEGACY TRANSPLANT SERVICES,
,OHSU HOSPITAL AND CLINICS,
,ADVENTIST HEALTH TILLAMOOK,
,GOOD SHEPHERD MEDICAL CENTER,
,SYRINGA HOSPITAL & CLINICS,
,BONNER GENERAL HOSPITAL,
,PROVIDENCE NEWBERG MEDICAL CENTER,
,PIONEER MEMORIAL HOSPITAL,
,SANTIAM HOSPITAL,
,ST. LUKE'S MCCALL,
,CASCADE MEDICAL CENTER,
,STEELE MEMORIAL MEDICAL CENTER,
,SAMARITAN NORTH LINCOLN HOSPITAL,
,SAMARITAN PACIFIC COMMUNITIES HOSPITAL,
,MERCY HOSPITAL,
,MARGARETVILLE MEMORIAL HOSPITAL,
,KENMORE MERCY HOSPITAL,
,ROSWELL PARK CANCER INSTITUTE,
,THE UNIVERSITY OF VERMONT HEALTH NETWORK ELIZABETHTOWN MOSES LUDINGTON HOSPITAL,
,ADIRONDACK MEDICAL CENTER,
,RIVER HOSPITAL,
,COMMUNITY MEMORIAL HOSPITAL,
,HIGHLAND HOSPITAL,
,CARTHAGE AREA HOSPITAL,
,SOUTH NASSAU COMMUNITIES HOSPITAL OFF CAMPUS EMERGENCY DEPT,
,LONG ISLAND JEWISH VALLEY STREAM,
,ST. JOSEPH HOSPITAL,
,MERCY MEDICAL CENTER,
,SAINT FRANCIS HOSPITAL,
,ROME MEMORIAL HOSPITAL,
,ST. ELIZABETH MEDICAL CENTER,
,UPSTATE UNIVERSITY HOSPITAL - COMMUNITY CAMPUS,
,GENEVA GENERAL HOSPITAL,
,FF THOMPSON HOSPITAL,
,ST ANTHONY COMMUNITY HOSPITAL,
,BON SECOURS COMMUNITY HOSPITAL,
,TENNOVA HEALTHCARE - LAFOLLETTE MEDICAL CENTER,
,AVERA WESKOTA MEMORIAL MEDICAL CENTER,
,SAINT MICHAELS HOSPITAL,
,LOVELACE MEDICAL CENTER,
,SWEDISH MEDICAL CENTER - ISSAQUAH CAMPUS,
,PHS INDIAN HOSPITAL AT RAPID CITY SIOUX SAN,
,MARSHALL MEDICAL CENTER,
,CHILD STUDY AND TREATMENT CENTER,
,PUTNAM HOSPITAL CENTER,
,SAMARITAN HOSPITAL ST MARY'S,
,KEYSTONE TREATMENT CENTER,
,HARLAN ARH HOSPITAL,
,SUMMIT PARK HOSPITAL & NURSING CARE CENTER,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKEVIEW,
,CLAXTON-HEPBURN MEDICAL CENTER,
,GOUVERNEUR HOSPITAL,
,SELECT SPECIALTY HOSPITAL,
,CLIFTON-FINE HOSPITAL,
,SUNNYVIEW REHABILITATION HOSPITAL,
,COBLESKILL REGIONAL HOSPITAL,
,SCHUYLER HOSPITAL,
,MEDSTAR HARBOR HOSPITAL,
,LEVINDALE HEBREW GERIATRIC CENTER & HOSPITAL,
,MOUNT WASHINGTON PEDIATRIC HOSPITAL,
,WENTWORTH-DOUGLASS HOSPITAL,
,MONADNOCK COMMUNITY HOSPITAL,
,NEW LONDON HOSPITAL,
,SAINT JOSEPH EAST,
,HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU,
,WHITE PLAINS HOSPITAL CENTER,
,NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,
,JACKSON PURCHASE MEDICAL CENTER,
,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,
,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,
,WESTERN MARYLAND CENTER,
,WYOMING COUNTY COMMUNITY HOSPITAL,
,WYCKOFF HEIGHTS MEDICAL CENTER,
,LENOX HILL HOSPITAL,
,RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,
,FLUSHING HOSPITAL MEDICAL CENTER,
,ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,
,VETERANS AFFAIRS ILLIANA HEALTH CARE SYSTEM,
,TRISTAR GREENVIEW REGIONAL HOSPITAL,
,RIVENDELL BEHAVIORAL HEALTH SERVICES,
,BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,
,ELLIS HOSPITAL,
,MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION,
,WHITESBURG ARH HOSPITAL,
,NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,
,NEW YORK-PRESBYTERIAN HUDSON VALLEY HOSPITAL,
,NICHOLAS H NOYES MEMORIAL HOSPITAL,
,NORTHERN DUTCHESS HOSPITAL,
,OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV,
,ROCKEFELLER UNIVERSITY HOSPITAL,
,THOMAS H BOYD MEMORIAL HOSPITAL,
,MARION HOSPITAL CORPORATION HEARTLAND REGIONAL MEDICAL CENTER,
,MOUNT SINAI WEST,
,KESSLER INSTITUTE FOR REHABILITATION,
,NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,
,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,
,ST JAMES MERCY HOSPITAL - MERCYCARE,
,CORNING HOSPITAL,
,VA MEDICAL CENTER - MONTROSE CAMPUS,
,BRUNSWICK HOSPITAL CENTER,
,JERSEY COMMUNITY HOSPITAL,
,GARRETT COUNTY MEMORIAL HOSPITAL,
,WINNIE COMMUNITY HOSPITAL,
,BALLINGER MEMORIAL HOSPITAL,
,CHI ST. JOSEPH HEALTH BURLESON HOSPITAL,
,CHILLICOTHE HOSPITAL,
,RICE MEDICAL CENTER,
,CONCHO COUNTY HOSPITAL,
,PARMER MEDICAL CENTER,
,SABINE COUNTY HOSPITAL,
,CHRISTUS MOTHER FRANCES HOSPITAL JACKSONVILLE,
,ADVENTHEALTH ROLLINS BROOK COMMUNITY HOSPITAL,
,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,
,GREATER BALTIMORE MEDICAL CENTER,
,MUENSTER MEMORIAL HOSPITAL,
,GREATER PEORIA SPECIALTY HOSPITAL LLC - DBA KINDRED HOSPITAL PEORIA,
,PROCTOR COMMUNITY HOSPITAL,
,LILLIAN M. HUDSPETH MEMORIAL HOSPITAL,
,RML HEALTH PROVIDERS LIMITED PARTNERSHIP - DBA RML CHICAGO,
,SHRINERS HOSPITAL FOR CHILDREN - CHICAGO,
,KINDRED HOSPITAL - CHICAGO,
,LARABIDA CHILDREN'S HOSPITAL,
,FRANCISCAN ALLIANCE INC FRANCISCAN HEALTH-OLYMPIA FALLS,
,INGALLS MEMORIAL HOSPITAL,
,PIPELINE WESTLAKE HOSPITAL LLC DBA WESTLAKE COMMUNITY HOSPITAL,
,KISHWAUKEE COMMUNITY HOSPITAL,
,GEORGETOWN COMMUNITY HOSPITAL,
,ST. ELIZABETH EDGEWOOD,
,PETERSON REHABILITATION HOSPITAL,
,CAMC TEAYS VALLEY HOSPITAL,
,KINGS DAUGHTERS MEDICAL CENTER,
,MILDRED MITCHELL-BATEMAN HOSPITAL,
,ENCOMPASS HEALTH REHAB HOSPITAL OF PARKERSBURG,
,BOURBON COMMUNITY HOSPITAL,
,GATEWAY REHABILITATION HOSPITAL AT FLORENCE,
,MEMORIAL HOSPITAL,
,FHN MEMORIAL HOSPITAL,
,VA MAINE HEALTHCARE SYSTEM TOGUS,
,PEKIN MEMORIAL HOSPITAL,
,MURRAY CALLOWAY COUNTY HOSPITAL,
,FLAGET MEMORIAL HOSPITAL,
,MORGAN COUNTY ARH HOSPITAL,
,CURAHEALTH OKLAHOMA CITY,
,INSPIRE SPECIALTY HOSPITAL,
,WEATHERFORD REGIONAL HOSPITAL,
,INTEGRIS MIAMI HOSPITAL,
,CLEVELAND AREA HOSPITAL,
,FAIRFAX COMMUNITY HOSPITAL,
,CIMARRON MEMORIAL HOSPITAL,
,AVERA DE SMET MEMORIAL HOSPITAL,
,STURGIS REGIONAL HOSPITAL,
,HAMMOND HENRY HOSPITAL,
,CRAWFORD MEMORIAL HOSPITAL,
,RED BUD ILLINOIS CO LLC DBA RED BUD REGIONAL HOSPITAL,
,TAYLORVILLE MEMORIAL HOSPITAL,
,SALEM TOWNSHIP HOSPITAL,
,PROVIDENCE ALASKA MEDICAL CENTER,
,J. D. MCCARTY CENTER FOR CHILDREN WITH DEVELOPMENTAL DISABILITIES,
,ALASKA REGIONAL HOSPITAL,
,SOUTH PENINSULA HOSPITAL,
,SITKA COMMUNITY HOSPITAL,
,PETERSBURG MEDICAL CENTER,
,ST. PETER'S HOSPITAL,
,CUBA MEMORIAL HOSPITAL,
,COPPER BASIN MEDICAL CENTER,
,MEMPHIS VETERANS AFFAIRS MEDICAL CENTER,
,BIG SOUTH FORK MEDICAL CENTER,
,SYCAMORE SHOALS HOSPITAL,
,SAINT THOMAS RIVER PARK HOSPITAL,
,CUMBERLAND RIVER HOSPITAL,
,BENEFIS HEALTH CARE (WEST CAMPUS),
,RIVERVIEW REGIONAL MEDICAL CENTER,
,COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE,
,PARKRIDGE EAST HOSPITAL,
,PARKRIDGE VALLEY HOSPITAL,
,UNITED REGIONAL MEDICAL CENTER,
,METHODIST HEALTHCARE - FAYETTE HOSPITAL,
,BAPTIST MEMORIAL HOSPITAL TIPTON,
,MEMORIAL HEALTH CARE SYSTEM,
,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCEBURG,
,ROANE MEDICAL CENTER,
,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM SEWANEE,
,HUMBOLDT GENERAL HOSPITAL,
,MILAN GENERAL HOSPITAL,
,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,
,HOUSTON COUNTY COMMUNITY HOSPITAL,
,SAINT THOMAS HICKMAN HOSPITAL,
,HAWKINS COUNTY MEMORIAL HOSPITAL,
,WEST TENNESSEE HEALTHCARE - VOLUNTEER HOSPITAL,
,EAST TENNESSEE CHILDREN'S HOSPITAL,
,PARKWEST MEDICAL CENTER,
,TENNOVA HEALTHCARE TURKEY CREEK MEDICAL CENTER,
,BAPTIST HOSPITAL FOR WOMEN,
,JAMES H. QUILLEN VA MEDICAL CENTER,
,GREENVILLE COMMUNITY HOSPITAL,
,SELECT SPECIALTY HOSPITAL - KNOXVILLE (UT MEDICAL CENTER),
,TULSA ER & HOSPITAL,
,BAPTIST MEMORIAL RESTORATIVE CARE HOSPITAL,
,PARKRIDGE VALLEY ADULT SERVICES,
,SAINT THOMAS MIDTOWN HOSPITAL,
,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,
,THREE RIVERS HOSPITAL,
,NEW YORK COMMUNITY HOSPITAL,
,VANDERBILT STALLWORTH REHABILITATION HOSPITAL,
,TRUSTPOINT HOSPITAL,
,BAPTIST MEMORIAL REHABILITATION HOSPITAL,
,ALLEN COUNTY HOSPITAL,
,DOCTORS HOSPITAL LLC,
,KIOWA COUNTY MEMORIAL HOSPITAL,
,HOSPITAL PAV YAUCO,
,HAMILTON COUNTY HOSPITAL,
,MENORAH MEDICAL CENTER,
,MID AMERICA REHABILITATION HOSPITAL,
,MINIMALLY INVASIVE SURGERY HOSPITAL,
,OSBORNE COUNTY MEMORIAL HOSPITAL,
,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,
,HOSP METROPOLITANO DR SUSONI,
,HOSP DR. CAYETANO COLL Y TOSTE,
,HOSP GENERAL CASTANER INC,
,DOCTORS CENTER HOSPITAL- MANATI,
,INST MEDICO DEL NORTE INC,
,HOSP SAN CARLOS BORROMEO,
,CLINICA ESPANOLA INC,
,LAFAYETTE HOSPITAL,
,EL CAMPO MEMORIAL HOSPITAL,
,KANSAS SURGERY & RECOVERY CENTER,
,VIA CHRISTI REHABILITATION HOSPITAL INC,
,HOSP DAMAS,
,DR. PILA'S HOSPITAL,
,HIMA SAN PABLO - BAYAMON,
,HOSP HERMANOS MELENDEZ,
,HOSP DEL MAESTRO,
,HOSP PAVIA DE HATO REY,
,SAN JORGE CHILDRENS HOSPITAL,
,AUXILIO MUTUO HOSPITAL,
,HOSP PSIQUIATRICO CORRECCIONAL,
,DOCTORS' CENTER HOSP SAN JUAN INC,
,GUAM MEMORIAL HOSPITAL AUTHORITY,
,BELAU NATIONAL HOSPITAL,
,LBJ TROPICAL MEDICAL CENTER,
,BAPTIST ST. ANTHONY'S HEALTH SYSTEM - BAPTIST CAMPUS,
,UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,
,ST. DAVID'S SOUTH AUSTIN MEDICAL CENTER,
,METHODIST HOSPITAL FOR SURGERY,
,ANSON GENERAL HOSPITAL,
,HEART HOSPITAL OF AUSTIN,
,ASCENSION SETON NORTHWEST HOSPITAL,
,ASCENSION SETON SOUTHWEST HOSPITAL,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL HURST-EULESS-BEDFORD,
,NORTH TEXAS COMMUNITY HOSPITAL,
,BROWNFIELD REGIONAL MEDICAL CENTER,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - CARROLLTON,
,HEMPHILL COUNTY HOSPITAL,
,CEDAR PARK REGIONAL MEDICAL CENTER,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,
,CLEVELAND EMERGENCY HOSPITAL,
,COLUMBUS COMMUNITY HOSPITAL,
,BAYSIDE CENTER FOR BEHAVIORAL HEALTH,
,INDIAN RIVER MEDICAL CENTER-BEHAVIORAL HEALTH CENTER,
,JACKSON MEMORIAL MENTAL HEALTH CENTER - INPATIENT,
,VAL VERDE REGIONAL MEDICAL CENTER,
,NORTHSIDE MENTAL HEALTH,
,MEDICAL CITY DENTON,
,NAPLES COMMUNITY HOSPITAL,
,TEXOMA MEDICAL CENTER,
,THE FRIARY OF LAKEVIEW CENTER,
,FAIR OAKS PAVILION - PSYCHIATRIC HOSPITAL,
,NIX COMMUNITY GENERAL HOSPITAL OF DILLEY TEXAS,
,UH HEALTH SHANDS PSYCHIATRIC HOSPITAL,
,PLUM VILLAGE HEALTH,
,PLAINS MEMORIAL HOSPITAL,
,EDINBURG REGIONAL MEDICAL CENTER,
,CORNERSTONE REGIONAL HOSPITAL,
,FOUNDATION SURGICAL HOSPITAL OF EL PASO,
